,accession_number,year,r,g,b,hex
682,D00693,1794,92,80,61,#5c503d
683,D00694,1792,177,168,152,#b1a898
684,D00696,1794,179,177,158,#b3b19e
685,D00697,1795,199,175,136,#c7af88
686,D00698,1796,35,28,23,#231c17
687,D00699,1794,244,238,221,#f4eedd
688,D00701,1798,224,219,200,#e0dbc8
689,D00702,1795,146,126,94,#927e5e
690,D00703,1794,61,57,44,#3d392c
691,D00704,1795,161,140,103,#a18c67
692,D00705,1795,108,97,75,#6c614b
693,D00706,1798,132,114,88,#847258
694,D00707,1798,188,176,151,#bcb097
695,D00708,1798,124,111,84,#7c6f54
696,D00709,1798,140,122,93,#8c7a5d
697,D00711,1794,226,221,202,#e2ddca
698,D00712,1793,230,222,200,#e6dec8
699,D00715,1798,201,192,165,#c9c0a5
700,D00717,1798,127,120,95,#7f785f
701,D00719,1796,204,190,164,#ccbea4
702,D00720,1796,196,179,157,#c4b39d
703,D00721,1796,163,146,125,#a3927d
704,D00722,1796,220,210,188,#dcd2bc
705,D00723,1793,236,224,205,#ece0cd
706,D00724,1798,213,212,193,#d5d4c1
707,D00725,1798,76,64,42,#4c402a
708,D00726,1795,202,193,169,#cac1a9
709,D00729,1795,69,54,38,#453626
710,D00828,1796,143,161,160,#8fa1a0
711,D00838,1796,169,124,96,#a97c60
712,D00843,1798,195,194,181,#c3c2b5
713,D00844,1797,177,168,143,#b1a88f
714,D00845,,165,156,137,#a59c89
715,D00846,,202,190,164,#cabea4
716,D00847,1796,193,176,145,#c1b091
717,D00848,1797,187,174,150,#bbae96
718,D00849,1797,171,160,136,#aba088
719,D00850,,173,160,134,#ada086
720,D00851,1797,207,199,182,#cfc7b6
721,D00852,1797,177,169,148,#b1a994
722,D00853,1797,183,170,145,#b7aa91
723,D00854,1797,216,211,196,#d8d3c4
724,D00855,1796,191,176,146,#bfb092
725,D00856,1795,52,45,34,#342d22
726,D00857,1797,208,198,180,#d0c6b4
727,D00858,1796,205,192,169,#cdc0a9
728,D00859,,138,121,94,#8a795e
729,D00860,1796,178,165,140,#b2a58c
730,D00861,1794,140,130,108,#8c826c
731,D00862,1795,182,168,147,#b6a893
732,D00863,,185,177,153,#b9b199
733,D00864,1798,210,202,185,#d2cab9
734,D00865,1796,179,163,138,#b3a38a
735,D00866,,178,166,137,#b2a689
736,D00867,,133,113,88,#857158
737,D00868,1795,187,168,135,#bba887
738,D00869,1795,201,190,164,#c9bea4
739,D00870,1797,139,120,97,#8b7861
740,D00871,,198,187,162,#c6bba2
741,D00872,1798,64,62,46,#403e2e
742,D00873,1797,85,68,50,#554432
743,D00874,1798,167,156,126,#a79c7e
744,D00875,1798,88,81,61,#58513d
745,D00876,1797,171,160,133,#aba085
746,D00877,1798,180,167,137,#b4a789
747,D00878,1799,111,91,65,#6f5b41
748,D00879,1798,184,172,145,#b8ac91
749,D00881,1796,98,83,64,#625340
750,D00882,1796,153,136,108,#99886c
751,D00883,1796,101,85,62,#65553e
752,D00884,1796,164,151,123,#a4977b
753,D00885,1796,58,56,43,#3a382b
754,D00886,1796,151,136,105,#978869
755,D00888,1796,133,128,104,#858068
756,D00889,1796,140,125,95,#8c7d5f
757,D00890,1797,89,77,63,#594d3f
758,D00891,1797,155,141,116,#9b8d74
759,D00892,1794,83,75,59,#534b3b
760,D00893,1796,193,185,163,#c1b9a3
761,D00894,1796,178,175,153,#b2af99
762,D00895,1798,182,183,159,#b6b79f
763,D00896,1790,156,139,105,#9c8b69
764,D00897,1795,118,108,83,#766c53
765,D00900,1798,202,186,157,#caba9d
766,D00901,1798,190,172,141,#beac8d
767,D00902,1796,144,142,127,#908e7f
768,D00903,1796,141,125,95,#8d7d5f
769,D00904,1796,152,148,124,#98947c
770,D00905,,165,153,135,#a59987
771,D00916,1797,22,21,19,#161513
772,D00954,1797,62,51,35,#3e3323
773,D01089,1797,196,180,149,#c4b495
774,D01097,1797,170,159,140,#aa9f8c
775,D01101,1798,63,49,33,#3f3121
776,D01102,1797,195,185,157,#c3b99d
777,D01103,1797,194,177,146,#c2b192
778,D01106,1797,89,80,57,#595039
779,D01112,1797,208,192,166,#d0c0a6
780,D01113,1797,166,153,134,#a69986
781,D01114,1797,178,157,125,#b29d7d
782,D01115,1799,168,156,133,#a89c85
783,D01116,1799,73,63,46,#493f2e
784,D01117,1797,94,68,43,#5e442b
785,D01118,1796,128,105,85,#806955
786,D01119,1796,100,82,67,#645243
787,D01120,1796,107,82,65,#6b5241
788,D01121,1796,112,85,67,#705543
789,D01122,1796,70,58,49,#463a31
790,D01123,1796,66,54,45,#42362d
791,D01124,1796,62,50,42,#3e322a
792,D01125,1796,96,75,59,#604b3b
793,D01126,1796,152,123,104,#987b68
794,D01127,1796,58,47,40,#3a2f28
795,D01128,1796,149,124,106,#957c6a
796,D01129,1796,145,116,98,#917462
797,D01130,1796,159,131,113,#9f8371
798,D01131,1796,129,102,84,#816654
799,D01132,1796,151,123,103,#977b67
800,D01133,1796,145,117,99,#917563
801,D01134,1796,157,125,105,#9d7d69
802,D01136,1796,104,83,70,#685346
803,D01138,1796,89,69,58,#59453a
804,D01139,1796,64,61,52,#403d34
805,D01140,1796,66,59,50,#423b32
806,D01141,1796,63,53,44,#3f352c
807,D01142,1796,60,51,42,#3c332a
808,D01143,1796,95,69,54,#5f4536
809,D01144,1796,67,55,46,#43372e
810,D01145,1796,108,89,76,#6c594c
811,D01146,1796,122,98,84,#7a6254
812,D01147,1796,67,55,45,#43372d
813,D01148,1796,67,53,46,#43352e
814,D01149,1796,112,88,73,#705849
815,D01150,1796,121,98,82,#796252
816,D01151,1796,57,46,39,#392e27
817,D01152,1796,66,55,47,#42372f
818,D01153,1796,115,91,74,#735b4a
819,D01154,1796,128,107,90,#806b5a
820,D01155,1796,138,117,102,#8a7566
821,D01156,1796,154,125,109,#9a7d6d
822,D01157,1796,145,114,95,#91725f
823,D01158,1796,162,129,109,#a2816d
824,D01159,1796,137,104,86,#896856
825,D01160,1796,166,139,120,#a68b78
826,D01161,1796,146,120,102,#927866
827,D01162,1796,168,134,113,#a88671
828,D01163,1796,140,116,100,#8c7464
829,D01164,1796,160,133,115,#a08573
830,D01165,1796,94,73,58,#5e493a
831,D01166,1796,96,78,64,#604e40
832,D01167,1796,145,117,100,#917564
833,D01168,1796,167,139,120,#a78b78
834,D01169,1796,101,79,64,#654f40
835,D01170,1796,73,60,51,#493c33
836,D01171,1796,116,97,81,#746151
837,D01172,1796,136,110,93,#886e5d
838,D01173,1796,66,57,47,#42392f
839,D01174,1796,67,60,52,#433c34
840,D01178,1796,162,135,118,#a28776
841,D01179,1796,63,50,40,#3f3228
842,D01180,1796,95,78,65,#5f4e41
843,D01181,1796,124,104,91,#7c685b
844,D01182,1796,164,133,114,#a48572
845,D01183,1796,111,90,77,#6f5a4d
846,D01184,1796,138,120,106,#8a786a
847,D01185,1796,121,100,85,#796455
848,D01186,1796,147,125,107,#937d6b
849,D01187,1796,144,114,97,#907261
850,D01188,1796,164,130,111,#a4826f
851,D01189,1796,145,112,94,#91705e
852,D01190,1796,169,133,113,#a98571
853,D01191,1796,106,83,68,#6a5344
854,D01192,1796,115,93,75,#735d4b
855,D01193,1796,145,113,95,#91715f
856,D01195,1796,136,113,97,#887161
857,D01196,1796,123,103,87,#7b6757
858,D01197,1796,106,88,72,#6a5848
859,D01198,1796,142,122,105,#8e7a69
860,D01199,1796,135,109,93,#876d5d
861,D01200,1796,160,137,120,#a08978
862,D01201,1796,92,71,53,#5c4735
863,D01202,1796,79,66,53,#4f4235
864,D01203,1796,127,103,86,#7f6756
865,D01204,1796,144,114,96,#907260
866,D01205,1796,152,124,105,#987c69
867,D01206,1796,171,138,119,#ab8a77
868,D01207,1796,127,100,76,#7f644c
869,D01208,1796,122,99,79,#7a634f
870,D01209,1796,115,96,71,#736047
871,D01210,1796,64,58,48,#403a30
872,D01211,1797,119,97,83,#776153
873,D01212,1797,126,109,94,#7e6d5e
874,D01213,1796,145,120,103,#917867
875,D01214,1796,170,141,122,#aa8d7a
876,D01215,1796,92,71,50,#5c4732
877,D01216,1796,138,118,98,#8a7662
878,D01217,1796,98,86,68,#625644
879,D01218,1796,62,54,45,#3e362d
880,D01219,1796,45,37,32,#2d2520
881,D01220,1796,59,51,46,#3b332e
882,D01221,1796,99,83,72,#635348
883,D01222,1796,144,121,103,#907967
884,D01223,1796,118,96,82,#766052
885,D01224,1796,136,110,91,#886e5b
886,D01225,1796,104,87,75,#68574b
887,D01226,1796,131,109,90,#836d5a
888,D01227,1796,53,47,41,#352f29
889,D01228,1796,100,87,70,#645746
890,D01229,1796,132,108,92,#846c5c
891,D01230,1796,168,137,118,#a88976
892,D01231,1796,105,89,76,#69594c
893,D01233,1796,104,84,71,#685447
894,D01234,1796,127,103,87,#7f6757
895,D01235,1796,108,91,79,#6c5b4f
896,D01236,1796,136,114,97,#887261
897,D01237,1796,112,82,62,#70523e
898,D01239,1796,133,106,92,#856a5c
899,D01241,1796,119,99,86,#776356
900,D01242,1796,158,126,106,#9e7e6a
901,D01243,1796,135,111,92,#876f5c
902,D01244,1797,160,131,109,#a0836d
903,D01245,1796,138,111,93,#8a6f5d
904,D01246,1796,157,123,101,#9d7b65
905,D01337,1798,197,182,150,#c5b696
906,D01346,1798,189,176,143,#bdb08f
907,D01607,1798,17,16,14,#11100e
908,D01608,1798,24,24,21,#181815
909,D01627,1798,62,54,40,#3e3628
910,D01628,1798,60,52,38,#3c3426
911,D01648,1798,216,209,186,#d8d1ba
912,D01653,1798,229,221,204,#e5ddcc
913,D01656,1798,225,216,196,#e1d8c4
914,D01657,1798,203,197,179,#cbc5b3
915,D01658,1798,233,225,207,#e9e1cf
916,D01659,1798,232,225,210,#e8e1d2
917,D01660,1798,241,234,216,#f1ead8
918,D01661,1798,234,227,211,#eae3d3
919,D01668,1798,230,218,195,#e6dac3
920,D01669,1798,213,197,166,#d5c5a6
921,D01670,1798,230,218,193,#e6dac1
922,D01671,1798,230,205,163,#e6cda3
923,D01672,1798,224,217,199,#e0d9c7
924,D01673,1798,219,202,159,#dbca9f
925,D01674,1798,200,184,155,#c8b89b
926,D01675,1798,173,141,100,#ad8d64
927,D01862,1798,165,153,152,#a59998
928,D01873,1798,111,93,79,#6f5d4f
929,D01878,1795,134,112,83,#867053
930,D01879,1797,235,229,210,#ebe5d2
931,D01880,1799,179,174,158,#b3ae9e
932,D01882,1798,197,181,153,#c5b599
933,D01883,1798,134,111,81,#866f51
934,D01891,1798,133,124,102,#857c66
935,D01892,1798,190,176,146,#beb092
936,D01894,1798,228,217,195,#e4d9c3
937,D01900,1798,134,127,105,#867f69
938,D01901,1798,189,180,150,#bdb496
939,D01902,1798,190,162,127,#bea27f
940,D01903,1798,191,163,120,#bfa378
941,D01904,1798,213,199,175,#d5c7af
942,D01905,1798,186,179,147,#bab393
943,D01906,1798,165,146,106,#a5926a
944,D01907,1798,188,182,157,#bcb69d
945,D01908,1798,206,199,176,#cec7b0
946,D01909,1798,187,179,155,#bbb39b
947,D01910,1796,141,128,99,#8d8063
948,D01911,1798,208,198,169,#d0c6a9
949,D01920,1799,67,60,49,#433c31
950,D02187,1799,195,189,168,#c3bda8
951,D02188,1799,183,172,144,#b7ac90
952,D02223,1799,73,57,34,#493922
953,D02224,1799,71,55,40,#473728
954,D02238,1799,207,199,177,#cfc7b1
955,D02240,1799,143,128,103,#8f8067
956,D02241,1799,165,157,140,#a59d8c
957,D02342,1798,92,73,51,#5c4933
958,D02343,1797,173,146,110,#ad926e
959,D02344,1797,196,178,147,#c4b293
960,D02345,1796,232,227,210,#e8e3d2
961,D02346,1798,233,228,210,#e9e4d2
962,D02347,1798,218,211,195,#dad3c3
963,D02348,1798,88,71,48,#584730
964,D02350,1798,118,100,72,#766448
965,D02352,1798,120,120,98,#787862
966,D02353,1799,175,166,144,#afa690
967,D02354,1798,201,196,177,#c9c4b1
968,D02357,1800,174,161,131,#aea183
969,D02374,1796,196,180,149,#c4b495
970,D02375,1794,76,69,51,#4c4533
971,D02377,1798,211,199,174,#d3c7ae
972,D02378,1798,159,149,129,#9f9581
973,D02383,1799,199,189,164,#c7bda4
974,D02391,1797,224,218,203,#e0dacb
975,D02474,1801,205,194,170,#cdc2aa
976,D03382,1801,159,139,111,#9f8b6f
977,D03383,1801,175,148,115,#af9473
978,D03384,1801,159,137,107,#9f896b
979,D03386,1801,155,131,100,#9b8364
980,D03387,1801,173,149,116,#ad9574
981,D03389,1801,178,159,131,#b29f83
982,D03405,1801,179,155,123,#b39b7b
983,D03408,1801,152,134,106,#98866a
984,D03413,1801,161,145,121,#a19179
985,D03414,1801,160,138,111,#a08a6f
986,D03415,1801,155,137,110,#9b896e
987,D03420,1801,154,132,104,#9a8468
988,D03421,1801,158,138,109,#9e8a6d
989,D03422,1798,140,125,100,#8c7d64
990,D03423,1801,162,147,121,#a29379
991,D03424,1801,158,136,106,#9e886a
992,D03425,1801,154,130,98,#9a8262
993,D03426,1801,170,143,108,#aa8f6c
994,D03429,1801,147,125,97,#937d61
995,D03431,1801,135,114,85,#877255
996,D03435,1801,159,134,102,#9f8666
997,D03436,1801,188,166,132,#bca684
998,D03632,1801,163,149,114,#a39572
999,D03633,1801,190,174,138,#beae8a
1000,D03634,1801,204,191,162,#ccbfa2
1001,D03635,1801,181,158,122,#b59e7a
1002,D03636,1801,206,193,162,#cec1a2
1003,D03637,1801,175,156,113,#af9c71
1004,D03638,1801,123,104,73,#7b6849
1005,D03639,1804,178,141,88,#b28d58
1006,D03640,1801,87,88,70,#575846
1007,D03641,1801,186,173,140,#baad8c
1008,D03642,1799,72,61,45,#483d2d
1009,D03643,1799,199,184,160,#c7b8a0
1010,D03644,1799,193,178,155,#c1b29b
1011,D03647,1799,190,173,148,#bead94
1012,D03648,1799,200,183,156,#c8b79c
1013,D03649,1799,209,192,166,#d1c0a6
1014,D03650,1799,219,211,196,#dbd3c4
1015,D03651,1799,188,176,158,#bcb09e
1016,D03652,1799,182,161,133,#b6a185
1017,D04152,1740,118,122,109,#767a6d
1018,D04155,1800,226,211,183,#e2d3b7
1019,D04158,1811,65,46,25,#412e19
1020,D04159,1800,192,165,119,#c0a577
1021,D04160,1805,175,151,112,#af9770
1022,D04161,1800,218,206,177,#daceb1
1023,D04162,1805,121,105,69,#796945
1024,D04163,1805,80,65,41,#504129
1025,D04164,1800,87,73,52,#574934
1026,D04165,1799,106,92,67,#6a5c43
1027,D04166,1798,172,174,160,#acaea0
1028,D04167,1799,66,54,35,#423623
1029,D04168,1799,80,74,56,#504a38
1030,D04169,1800,202,192,171,#cac0ab
1031,D04172,1799,60,49,36,#3c3124
1032,D04174,1798,189,185,169,#bdb9a9
1033,D04175,1799,186,170,141,#baaa8d
1034,D04176,1799,161,143,111,#a18f6f
1035,D04177,1799,103,83,63,#67533f
1036,D04178,1799,202,186,159,#caba9f
1037,D04179,1801,125,107,81,#7d6b51
1038,D04180,1799,173,164,139,#ada48b
1039,D04181,1799,165,153,123,#a5997b
1040,D04182,1799,197,185,166,#c5b9a6
1041,D04183,1800,170,140,88,#aa8c58
1042,D04185,1799,207,189,159,#cfbd9f
1043,D04186,1799,140,134,109,#8c866d
1044,D04187,1798,221,214,196,#ddd6c4
1045,D04397,1802,39,40,37,#272825
1046,D04427,1802,48,50,45,#30322d
1047,D04460,1802,44,46,43,#2c2e2b
1048,D04495,1802,152,130,104,#988268
1049,D04496,1802,165,141,114,#a58d72
1050,D04497,1802,122,106,86,#7a6a56
1051,D04500,1802,124,103,81,#7c6751
1052,D04501,1802,120,99,77,#78634d
1053,D04502,1802,128,107,85,#806b55
1054,D04513,1802,158,133,105,#9e8569
1055,D04525,1802,106,89,67,#6a5943
1056,D04526,1802,106,90,70,#6a5a46
1057,D04527,1802,118,103,84,#766754
1058,D04599,1802,144,137,118,#908976
1059,D04601,1802,166,160,142,#a6a08e
1060,D04603,1802,141,136,119,#8d8877
1061,D04607,1802,126,119,100,#7e7764
1062,D04608,1802,112,104,85,#706855
1063,D04610,1802,69,54,37,#453625
1064,D04613,1802,76,72,58,#4c483a
1065,D04614,1802,115,114,100,#737264
1066,D04615,1802,121,120,108,#79786c
1067,D04616,1802,84,72,54,#544836
1068,D04618,1802,181,173,152,#b5ad98
1069,D04622,1802,143,136,119,#8f8877
1070,D04625,1802,80,73,57,#504939
1071,D04626,1802,100,92,75,#645c4b
1072,D04627,1802,71,65,50,#474132
1073,D04639,1802,160,148,124,#a0947c
1074,D04640,1802,139,133,116,#8b8574
1075,D04648,1802,150,141,121,#968d79
1076,D04798,1802,128,116,104,#807468
1077,D04799,1802,210,201,187,#d2c9bb
1078,D04800,1802,214,206,192,#d6cec0
1079,D04801,1802,34,34,34,#222222
1080,D04802,1802,228,220,209,#e4dcd1
1081,D04803,1802,229,222,210,#e5ded2
1082,D04804,1802,232,226,214,#e8e2d6
1083,D04805,1802,232,225,214,#e8e1d6
1084,D04807,1802,231,225,213,#e7e1d5
1085,D04809,1802,231,224,211,#e7e0d3
1086,D04810,1802,230,223,211,#e6dfd3
1087,D04811,1802,229,223,212,#e5dfd4
1088,D04812,1802,34,34,32,#222220
1089,D04814,1802,216,205,185,#d8cdb9
1090,D04816,1802,220,208,191,#dcd0bf
1091,D04875,1802,172,166,149,#aca695
1092,D04876,1802,164,152,137,#a49889
1093,D04877,1802,160,153,135,#a09987
1094,D04878,1802,170,166,153,#aaa699
1095,D04879,1802,152,139,121,#988b79
1096,D04882,1802,122,115,96,#7a7360
1097,D04883,1802,172,164,151,#aca497
1098,D04886,1802,154,142,127,#9a8e7f
1099,D04887,1802,162,140,108,#a28c6c
1100,D04895,1803,216,209,185,#d8d1b9
1101,D04896,1809,170,159,124,#aa9f7c
1102,D04897,1814,92,81,56,#5c5138
1103,D04898,1806,72,77,67,#484d43
1104,D04899,1803,204,194,167,#ccc2a7
1105,D04900,1815,81,63,42,#513f2a
1106,D04901,1817,185,183,160,#b9b7a0
1107,D05356,1807,227,219,200,#e3dbc8
1108,D05358,1807,228,218,197,#e4dac5
1109,D05361,1810,38,36,35,#262423
1110,D05840,1805,67,56,41,#433829
1111,D05916,1805,142,136,112,#8e8870
1112,D05917,1805,194,186,162,#c2baa2
1113,D05936,1805,239,235,221,#efebdd
1114,D05937,1805,193,177,147,#c1b193
1115,D05946,1805,183,169,138,#b7a98a
1116,D05947,1805,241,235,218,#f1ebda
1117,D05948,1805,240,234,217,#f0ead9
1118,D05949,1805,204,194,165,#ccc2a5
1119,D05950,1805,114,102,74,#72664a
1120,D05951,1805,215,206,184,#d7ceb8
1121,D05952,1805,104,93,70,#685d46
1122,D05953,1805,142,130,100,#8e8264
1123,D05954,1801,53,29,19,#351d13
1124,D05955,1801,99,79,50,#634f32
1125,D05956,1801,49,33,23,#312117
1126,D05957,1801,85,65,43,#55412b
1127,D05958,1801,103,86,64,#675640
1128,D05959,1801,132,90,48,#845a30
1129,D06851,1808,174,139,101,#ae8b65
1130,D06852,1808,199,178,141,#c7b28d
1131,D08084,1807,191,169,139,#bfa98b
1132,D08085,1807,227,205,176,#e3cdb0
1133,D08086,1807,218,201,174,#dac9ae
1134,D08087,1807,224,214,189,#e0d6bd
1135,D08089,1807,203,190,166,#cbbea6
1136,D08090,1807,142,122,98,#8e7a62
1137,D08091,1807,232,217,193,#e8d9c1
1138,D08098,1807,209,198,169,#d1c6a9
1139,D08099,1807,198,181,149,#c6b595
1140,D08100,1817,205,177,137,#cdb189
1141,D08101,1807,198,173,138,#c6ad8a
1142,D08102,1806,184,158,125,#b89e7d
1143,D08103,1806,110,78,54,#6e4e36
1144,D08104,1806,226,210,185,#e2d2b9
1145,D08105,1806,178,141,100,#b28d64
1146,D08106,1806,81,55,36,#513724
1147,D08108,1824,172,144,111,#ac906f
1148,D08109,1824,204,184,158,#ccb89e
1149,D08110,1806,177,143,101,#b18f65
1150,D08111,1806,195,172,144,#c3ac90
1151,D08112,1806,198,179,145,#c6b391
1152,D08113,1806,108,89,67,#6c5943
1153,D08114,1806,79,58,40,#4f3a28
1154,D08115,1806,78,55,36,#4e3724
1155,D08116,1806,97,69,46,#61452e
1156,D08117,1806,147,102,69,#936645
1157,D08118,1806,183,151,118,#b79776
1158,D08119,1806,139,107,76,#8b6b4c
1159,D08120,1806,160,132,101,#a08465
1160,D08121,1806,74,52,36,#4a3424
1161,D08122,1806,165,120,81,#a57851
1162,D08123,1806,121,77,49,#794d31
1163,D08125,1806,174,137,96,#ae8960
1164,D08126,1806,139,101,68,#8b6544
1165,D08127,1808,150,100,63,#96643f
1166,D08128,1808,180,144,108,#b4906c
1167,D08129,1806,183,159,126,#b79f7e
1168,D08130,1808,134,104,72,#866848
1169,D08131,1808,199,173,138,#c7ad8a
1170,D08132,1806,203,180,144,#cbb490
1171,D08133,1808,186,145,107,#ba916b
1172,D08134,1808,74,54,38,#4a3626
1173,D08135,1808,179,155,120,#b39b78
1174,D08136,1808,169,129,88,#a98158
1175,D08137,1808,60,34,19,#3c2213
1176,D08138,1808,184,139,99,#b88b63
1177,D08139,1807,133,90,55,#855a37
1178,D08140,1808,179,144,105,#b39069
1179,D08141,1808,174,144,116,#ae9074
1180,D08142,1806,81,54,35,#513623
1181,D08144,1808,135,86,53,#875635
1182,D08145,1807,166,130,93,#a6825d
1183,D08146,1806,210,191,155,#d2bf9b
1184,D08147,1806,195,167,133,#c3a785
1185,D08148,1808,133,85,50,#855532
1186,D08149,1807,44,26,16,#2c1a10
1187,D08150,1810,66,46,30,#422e1e
1188,D08151,1808,113,70,42,#71462a
1189,D08152,1806,188,156,115,#bc9c73
1190,D08153,1808,178,144,100,#b29064
1191,D08154,1806,133,101,68,#856544
1192,D08155,1808,118,82,52,#765234
1193,D08156,1812,132,86,55,#845637
1194,D08157,1806,78,57,37,#4e3925
1195,D08158,1806,202,175,141,#caaf8d
1196,D08159,1812,198,171,135,#c6ab87
1197,D08160,1806,187,160,125,#bba07d
1198,D08161,1812,160,121,85,#a07955
1199,D08162,1806,128,87,60,#80573c
1200,D08163,1810,216,197,168,#d8c5a8
1201,D08164,1812,183,164,139,#b7a48b
1202,D08165,1808,207,176,137,#cfb089
1203,D08166,1817,75,48,30,#4b301e
1204,D08167,1807,81,54,34,#513622
1205,D08168,1810,214,188,155,#d6bc9b
1206,D08169,1808,183,152,117,#b79875
1207,D08170,1810,170,125,86,#aa7d56
1208,D08171,1818,211,183,147,#d3b793
1209,D08172,1816,128,96,65,#806041
1210,D08173,1816,186,149,109,#ba956d
1211,D08174,1818,221,205,178,#ddcdb2
1212,D08175,1824,178,163,134,#b2a386
1213,D08176,1818,141,96,60,#8d603c
1214,D08177,1810,183,147,110,#b7936e
1215,D08178,1815,176,142,105,#b08e69
1216,D08179,1810,205,178,140,#cdb28c
1217,D08181,1807,206,187,157,#cebb9d
1218,D08182,1807,187,157,116,#bb9d74
1219,D08183,1807,210,187,153,#d2bb99
1220,D08184,1807,121,81,53,#795135
1221,D08185,1807,199,168,135,#c7a887
1222,D08186,1813,214,188,153,#d6bc99
1223,D08187,1815,210,183,146,#d2b792
1224,D08204,,213,201,175,#d5c9af
1225,D08205,1802,147,126,99,#937e63
1226,D08207,1802,89,83,72,#595348
1227,D08212,1802,161,138,108,#a18a6c
1228,D08221,1802,202,187,158,#cabb9e
1229,D08222,1824,186,166,140,#baa68c
1230,D08225,1802,190,173,150,#bead96
1231,D08231,1809,228,206,170,#e4ceaa
1232,D08234,1802,191,185,170,#bfb9aa
1233,D08238,1804,203,192,172,#cbc0ac
1234,D08240,1802,148,136,117,#948875
1235,D08245,1802,159,152,137,#9f9889
1236,D08250,1802,167,155,134,#a79b86
1237,D08256,1808,117,80,49,#755031
1238,D08257,1808,123,81,49,#7b5131
1239,D08258,1802,207,188,155,#cfbc9b
1240,D08259,1802,182,169,142,#b6a98e
1241,D08260,1802,189,170,132,#bdaa84
1242,D08261,1812,151,148,132,#979484
1243,D08262,1799,180,171,148,#b4ab94
1244,D08263,1800,65,65,60,#41413c
1245,D08264,1800,180,177,162,#b4b1a2
1246,D08265,1811,152,141,108,#988d6c
1247,D08266,1806,114,89,62,#72593e
1248,D08268,1806,139,121,82,#8b7952
1249,D08269,1802,206,183,147,#ceb793
1250,D08270,1802,183,168,136,#b7a888
1251,D08271,,82,74,62,#524a3e
1252,D08273,1815,182,176,154,#b6b09a
1253,D08274,1807,213,202,172,#d5caac
1254,D08275,1805,204,189,159,#ccbd9f
1255,D08276,1802,211,197,167,#d3c5a7
1256,D08277,1798,209,195,162,#d1c3a2
1257,D08279,1802,208,197,168,#d0c5a8
1258,D08280,1802,206,196,167,#cec4a7
1259,D08281,1802,206,191,160,#cebfa0
1260,D08282,1802,217,212,192,#d9d4c0
1261,D08814,1811,20,18,17,#141211
1262,D08815,1811,20,18,16,#141210
1263,D08905,1811,224,216,203,#e0d8cb
1264,D09052,1816,175,160,122,#afa07a
1265,D10256,1813,181,178,161,#b5b2a1
1266,D10257,1813,184,175,161,#b8afa1
1267,D12114,1808,121,102,77,#79664d
1268,D12122,1822,211,198,172,#d3c6ac
1269,D12257,1809,202,193,168,#cac1a8
1270,D12260,1809,204,200,176,#ccc8b0
1271,D12450,1816,22,22,21,#161615
1272,D12451,1816,24,25,23,#181917
1273,D12452,1816,23,24,23,#171817
1274,D12453,1816,24,25,23,#181917
1275,D12454,1816,25,25,23,#191917
1276,D12455,1816,25,25,24,#191918
1277,D12456,1816,23,24,23,#171817
1278,D12457,1816,25,26,24,#191a18
1279,D12458,1816,225,217,197,#e1d9c5
1280,D12459,1816,23,23,22,#171716
1281,D12460,1816,24,24,23,#181817
1282,D12461,1816,24,24,23,#181817
1283,D12462,1816,24,24,23,#181817
1284,D12463,1816,23,23,23,#171717
1285,D12464,1816,23,23,22,#171716
1286,D12465,1816,23,23,23,#171717
1287,D12466,1816,24,24,23,#181817
1288,D12467,1816,22,23,23,#161717
1289,D12468,1816,22,22,21,#161615
1290,D12469,1816,23,22,21,#171615
1291,D12470,1816,22,22,21,#161615
1292,D12471,1816,23,23,22,#171716
1293,D12472,1816,194,192,177,#c2c0b1
1294,D12473,1816,22,23,22,#161716
1295,D12474,1816,23,23,22,#171716
1296,D12475,1816,23,22,22,#171616
1297,D12476,1816,21,21,21,#151515
1298,D12477,1816,23,23,22,#171716
1299,D12478,1816,23,23,22,#171716
1300,D12479,1816,206,202,187,#cecabb
1301,D12480,1816,193,191,176,#c1bfb0
1302,D12481,1816,201,194,178,#c9c2b2
1303,D12482,1816,23,23,22,#171716
1304,D12483,1816,24,24,22,#181816
1305,D12484,1816,23,23,22,#171716
1306,D12485,1816,25,25,24,#191918
1307,D12486,1816,24,24,23,#181817
1308,D12487,1818,23,23,22,#171716
1309,D12488,1816,23,23,21,#171715
1310,D12489,1818,200,190,164,#c8bea4
1311,D12490,1816,188,173,138,#bcad8a
1312,D12491,1816,24,24,22,#181816
1313,D12492,1816,24,23,22,#181716
1314,D12493,1816,192,184,159,#c0b89f
1315,D12494,1816,26,25,24,#1a1918
1316,D12495,1816,25,26,25,#191a19
1317,D12496,1816,26,27,26,#1a1b1a
1318,D12497,1816,25,26,25,#191a19
1319,D12498,1816,25,26,25,#191a19
1320,D12499,1816,25,26,26,#191a1a
1321,D12500,1816,27,27,24,#1b1b18
1322,D12501,1816,142,137,122,#8e897a
1323,D12502,1818,186,156,127,#ba9c7f
